set,id,name,art_composition,value,tribes,tags,rarity,rules_text,design_role,e1_trigger,e1_conditions,e1_target,e1_primitive,e1_amount,e1_duration,e1_stack,e1_limits,e1_text_values,e2_trigger,e2_conditions,e2_target,e2_primitive,e2_amount,e2_duration,e2_stack,e2_limits,e2_text_values
stormheart_conclave,stormheart_conclave_stormlings_rain_dance,2 Stormlings' Rain Dance,2 stormlings spin through falling rain.,2,Elemental,Nature,common,Gets +{amount} if the opponent card is a {threshold} or higher.,Threshold hunter,beforeCompare,"valueCompare(opponentCard, base, gte, 6)",thisCard,modifyValue,constant(21),thisComparison,stack,,amount=constant(21); threshold=constant(6),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_wind_race,3 Stormlings' Wind Race,3 stormlings race along a ridge.,3,Elemental,Nature,common,The opponent card gets -{amount} if it is a {threshold} or higher.,Threshold suppression,beforeCompare,"valueCompare(opponentCard, base, gte, 7)",opponentCard,modifyValue,constant(-10),thisComparison,stack,,amount=constant(10); threshold=constant(7),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_storm_call,4 Stormlings' Storm Call,4 stormlings gather around a lightning rod.,4,Elemental,Nature,rare,Gets +{amount} if the opponent card is a {threshold} or higher.,Threshold hunter,beforeCompare,"valueCompare(opponentCard, base, gte, 7)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6); threshold=constant(7),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_cloudbreak,5 Stormlings' Cloudbreak,5 stormlings break through dark clouds.,5,Elemental,Nature,rare,The opponent card gets -{amount} if it is a {threshold} or higher.,Threshold suppression,beforeCompare,"valueCompare(opponentCard, base, gte, 8)",opponentCard,modifyValue,constant(-4),thisComparison,stack,,amount=constant(4); threshold=constant(8),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_thunder_roll,6 Stormlings' Thunder Roll,6 stormlings roll above rooftops.,6,Elemental,Nature,rare,Gets +{amount} if the opponent card is a {threshold} or higher.,Threshold hunter,beforeCompare,"valueCompare(opponentCard, base, gte, 8)",thisCard,modifyValue,constant(2),thisComparison,stack,,amount=constant(2); threshold=constant(8),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_sky_brawl,7 Stormlings' Sky Brawl,7 stormlings collide over a tower.,7,Elemental,Nature,rare,The opponent card gets -{amount} if it is a {threshold} or higher.,Threshold suppression,beforeCompare,"valueCompare(opponentCard, base, gte, 9)",opponentCard,modifyValue,constant(-3),thisComparison,stack,,amount=constant(3); threshold=constant(9),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_blackout,8 Stormlings' Blackout,8 stormlings swallow a village in darkness.,8,Elemental,Nature,rare,Gets +{amount} if the opponent card is a {threshold} or higher.,Threshold hunter,beforeCompare,"valueCompare(opponentCard, base, gte, 9)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(9),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_tempest,9 Stormlings' Tempest,9 stormlings spiral around a peak.,9,Elemental,Nature,rare,The opponent card gets -{amount} if it is a {threshold} or higher.,Threshold suppression,beforeCompare,"valueCompare(opponentCard, base, gte, 9)",opponentCard,modifyValue,constant(-6),thisComparison,stack,,amount=constant(6); threshold=constant(9),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_big_bang,10 Stormlings' Big Bang,10 stormlings explode above a crater.,10,Elemental,Nature,legendary,The opponent card cannot exceed {amount} this round.,Restrained ceiling control,beforeCompare,,opponentCard,maximumValue,constant(1),thisComparison,lowest,,amount=constant(1),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_heist,1 Bandit's Heist,1 bandit opens a merchant chest.,1,Bandit,Eastbrook,common,"If this loses, reveal {count} random cards in the opponent hand and the opponent discards {discardCount} random cards.",Scouting sacrifice,onLose,,"zone(opponent, hand, random, count=6)",reveal,6 random cards,instant,stack,,count=constant(6); discardCount=constant(3),onLose,,"zone(opponent, hand, random, count=3)",discard,3 random cards,instant,stack,,
roadknife_guild,roadknife_guild_bandits_lookout,2 Bandits' Lookout,2 bandits watch from alley corners.,2,Bandit,Eastbrook,common,"If this loses, reveal {count} random cards in the opponent hand.",Scouting sacrifice,onLose,,"zone(opponent, hand, random, count=5)",reveal,5 random cards,instant,stack,,count=constant(5),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_road_toll,3 Bandits' Road Toll,3 bandits block a forest road.,3,Bandit,Eastbrook,common,"If this wins, the opponent discards {count} random cards.",Hand disruption,onWin,,"zone(opponent, hand, random, count=3)",discard,3 random cards,instant,stack,,count=constant(3),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_knife_game,4 Bandits' Knife Game,4 bandits throw knives at a table.,4,Bandit,Eastbrook,uncommon,"If this wins, the opponent discards {count} random cards.",Hand disruption,onWin,,"zone(opponent, hand, random, count=2)",discard,2 random cards,instant,stack,oncePerRound,count=constant(2),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_bridge_job,5 Bandits' Bridge Job,5 bandits rob a bridge caravan.,5,Bandit,Eastbrook,uncommon,"The first time this is revealed, reveal the opponent hand.",Information spike,onReveal,,player(opponent),reveal,Entire hand,instant,unique,oncePerMatch,,,,,,,,,,
roadknife_guild,roadknife_guild_bandits_powder_plot,6 Bandits' Powder Plot,6 bandits plant kegs under a gate.,6,Bandit,Eastbrook,uncommon,"The first time this is revealed, reveal the opponent hand.",Information spike,onReveal,,player(opponent),reveal,Entire hand,instant,unique,oncePerMatch,,,,,,,,,,
roadknife_guild,roadknife_guild_bandits_night_raid,7 Bandits' Night Raid,7 bandits rush a sleeping camp.,7,Bandit,Eastbrook,rare,Gets +{amount} if the opponent card is Human.,Targeted payoff,beforeCompare,"hasTribe(opponentCard, Human)",thisCard,modifyValue,constant(5),thisComparison,stack,,amount=constant(5),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_coach_job,8 Bandits' Coach Job,8 bandits surround a stagecoach.,8,Bandit,Eastbrook,rare,Gets +{amount} if the opponent card is Human.,Targeted payoff,beforeCompare,"hasTribe(opponentCard, Human)",thisCard,modifyValue,constant(8),thisComparison,stack,,amount=constant(8),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_guild_vote,9 Bandits' Guild Vote,9 bandits vote around stolen gold.,9,Bandit,Eastbrook,epic,"Whenever this wins, draw {amount} card.",High-value tempo,onWin,,player(self),draw,constant(3),instant,stack,,amount=constant(3),,,,,,,,,
roadknife_guild,roadknife_guild_bandits_last_score,10 Bandits' Last Score,10 bandits flee with one strongbox.,10,Bandit,Eastbrook,epic,"When revealed, the opponent discards {count} random cards.",Maximum value with drawback,onReveal,,"zone(opponent, hand, random, count=4)",discard,4 random cards,instant,stack,,count=constant(4),,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_glance,1 Spirit's Glance,1 spirit peers from a mirror.,1,Spirit,Quest,common,"When revealed, lower value wins the comparison. When revealed, silence the opposing card this round.",Rule inversion,onReveal,,thisCard,reverseComparison,,thisComparison,unique,,,onReveal,,opponentCard,silence,,thisRound,replace,,
mirrorveil_chorus,mirrorveil_chorus_spirits_echo,2 Spirits' Echo,2 spirits face one another.,2,Spirit,Quest,common,This card wins tied rounds.,Tie control,beforeCompare,,thisCard,winTies,,thisComparison,unique,,,,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_double_take,3 Spirits' Double Take,3 spirits mimic a startled guard.,3,Spirit,Quest,common,This card cannot be reduced below {amount}.,Value floor,beforeCompare,,thisCard,minimumValue,constant(8),thisComparison,highest,,amount=constant(8),,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_mirror_game,4 Spirits' Mirror Game,4 spirits trade places in mirrors.,4,Spirit,Quest,uncommon,The opponent card cannot exceed {amount} this round.,Value ceiling,beforeCompare,,opponentCard,maximumValue,constant(4),thisComparison,lowest,,amount=constant(4),,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_glass_dance,5 Spirits' Glass Dance,5 spirits dance across broken glass.,5,Spirit,Quest,uncommon,This card becomes the opponent card base value.,Value copy,beforeCompare,,thisCard,setValue,"cardValue(opponentCard, base)",thisComparison,replace,,,,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_name_swap,6 Spirits' Name Swap,6 spirits exchange carved masks.,6,Spirit,Quest,uncommon,"The first time this is revealed, the opponent card has no effect this round.",Silence,onReveal,,opponentCard,silence,,thisRound,unique,oncePerMatch,,,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_lost_face,7 Spirits' Lost Face,7 spirits search among portraits.,7,Spirit,Quest,epic,"The first time this is played, swap both effective values.",Value exchange,beforeCompare,,thisCard,swapValues,,thisComparison,unique,oncePerMatch,,,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_hall_walk,8 Spirits' Hall Walk,8 spirits walk an endless corridor.,8,Spirit,Quest,epic,This card cannot be reduced below {amount}.,Defensive floor,beforeCompare,,thisCard,minimumValue,constant(9),thisComparison,highest,,amount=constant(9),,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_shattering,9 Spirits' Shattering,9 spirits burst from cracked mirrors.,9,Spirit,Quest,rare,The opponent card cannot exceed {amount} this round.,Restrained ceiling,beforeCompare,,opponentCard,maximumValue,constant(2),thisComparison,lowest,,amount=constant(2),,,,,,,,,
mirrorveil_chorus,mirrorveil_chorus_spirits_encore,10 Spirits' Encore,10 spirits bow before empty seats.,10,Spirit,Quest,epic,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(24),untilTriggered,unique,,amount=constant(24),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_watch,1 Warden's Watch,1 warden watches from a tower.,1,Human,"Fire, Eastbrook",common,"Whenever this loses, draw {amount} cards and return your highest Human of value {threshold} or lower from your discard to your hand.",Loss insurance,onLose,,player(self),draw,constant(5),instant,stack,,amount=constant(5); threshold=constant(3),onLose,,"zone(self, discard, highest, count=1, tribe=Human, maxValue=3)",returnToHand,,instant,unique,,
emberwatch_compact,emberwatch_compact_wardens_lantern_run,2 Wardens' Lantern Run,2 wardens carry lanterns through rain.,2,Human,Fire,common,"Whenever this loses, draw {amount} card.",Loss insurance,onLose,,player(self),draw,constant(4),instant,stack,,amount=constant(4),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_fire_drill,3 Wardens' Fire Drill,3 wardens practice around a brazier.,3,Human,Fire,common,"Whenever this loses, draw {amount} card.",Loss insurance,onLose,,player(self),draw,constant(3),instant,stack,,amount=constant(3),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_night_shift,4 Wardens' Night Shift,4 wardens patrol a city wall.,4,Human,"Fire, Eastbrook",uncommon,Gets +{amount} while you are behind on rounds.,Comeback value,beforeCompare,"scoreCompare(lt, opponent score)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_beacon,5 Wardens' Beacon,5 wardens raise a signal beacon.,5,Human,Fire,uncommon,Gets +{amount} while you are behind on rounds.,Comeback value,beforeCompare,"scoreCompare(lt, opponent score)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_muster,6 Wardens' Muster,6 wardens assemble in a courtyard.,6,Human,Fire,uncommon,Gets +{amount} while you are behind on rounds.,Comeback value,beforeCompare,"scoreCompare(lt, opponent score)",thisCard,modifyValue,constant(2),thisComparison,stack,,amount=constant(2),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_rescue,7 Wardens' Rescue,7 wardens pull villagers from fire.,7,Human,"Fire, Eastbrook",rare,Gets +{amount} while you are behind on rounds.,Comeback value,beforeCompare,"scoreCompare(lt, opponent score)",thisCard,modifyValue,constant(3),thisComparison,stack,,amount=constant(3),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_last_watch,8 Wardens' Last Watch,8 wardens line a fortress wall.,8,Human,Fire,rare,Gets +{amount} while you are behind on rounds.,Comeback value,beforeCompare,"scoreCompare(lt, opponent score)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_alarm,9 Wardens' Alarm,9 wardens ring alarm bells.,9,Human,Fire,rare,"Whenever this wins, draw {amount} card.",Lead conversion,onWin,,player(self),draw,constant(3),instant,stack,,amount=constant(3),,,,,,,,,
emberwatch_compact,emberwatch_compact_wardens_final_stand,10 Wardens' Final Stand,10 wardens hold a breached gate.,10,Human,"Fire, Eastbrook",epic,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(16),untilTriggered,unique,,amount=constant(16),,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_spark,1 Fiend's Spark,1 fiend crawls from an urn.,1,"Demon, Undead",Fire,uncommon,"When revealed, give the opponent {amount} Dread. The opposing card cannot exceed {cap} this comparison.",Pressure setup,onReveal,,player(opponent),addCounter,Dread: constant(10),instant,stack,,amount=constant(10); cap=constant(1),beforeCompare,,opponentCard,maximumValue,constant(1),thisComparison,lowest,,
cryptfire_covenant,cryptfire_covenant_fiends_grave_raid,2 Fiends' Grave Raid,2 fiends raid an open grave.,2,"Demon, Undead",Fire,uncommon,"Gets +{rate} for each Dread on the opponent, currently +{amount}.",Pressure payoff,beforeCompare,,thisCard,modifyValue,"4 * (counter(opponent, Dread))",thisComparison,stack,,"amount=4 * (counter(opponent, Dread)); rate=constant(4)",,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_bone_fire,3 Fiends' Bone Fire,3 fiends dance around burning bones.,3,"Demon, Undead","Fire, Dungeon",uncommon,"If the opponent has at least {threshold} Dread, their card gets -{amount}.",Pressure conversion,beforeCompare,"counterCompare(opponent, Dread, gte, 1)",opponentCard,modifyValue,constant(-10),thisComparison,stack,,amount=constant(10); threshold=constant(1),,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_soul_hunt,4 Fiends' Soul Hunt,4 fiends chase a fleeing soul.,4,"Demon, Undead",Fire,rare,"When revealed, give the opponent {amount} Dread.",Pressure setup,onReveal,,player(opponent),addCounter,Dread: constant(3),instant,stack,,amount=constant(3),,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_crypt_feast,5 Fiends' Crypt Feast,5 fiends gather at a crypt table.,5,"Demon, Undead",Fire,rare,"Gets +{rate} for each Dread on the opponent, currently +{amount}.",Pressure payoff,beforeCompare,,thisCard,modifyValue,"counter(opponent, Dread)",thisComparison,stack,,"amount=counter(opponent, Dread); rate=constant(1)",,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_ash_rite,6 Fiends' Ash Rite,6 fiends kneel around an ash circle.,6,"Demon, Undead","Fire, Dungeon",rare,"If the opponent has at least {threshold} Dread, their card gets -{amount}.",Pressure conversion,beforeCompare,"counterCompare(opponent, Dread, gte, 2)",opponentCard,modifyValue,constant(-2),thisComparison,stack,,amount=constant(2); threshold=constant(2),,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_hellgate,7 Fiends' Hellgate,7 fiends emerge through a stone gate.,7,"Demon, Undead",Fire,rare,"When revealed, give the opponent {amount} Dread. If this wins, give them {bonus} more Dread.",Pressure conversion and renewal,onReveal,,player(opponent),addCounter,Dread: constant(3),instant,stack,,amount=constant(3); bonus=constant(3),onWin,,player(opponent),addCounter,Dread: constant(3),instant,unique,oncePerRound,
cryptfire_covenant,cryptfire_covenant_fiends_doom_march,8 Fiends' Doom March,8 fiends march between mausoleums.,8,"Demon, Undead",Fire,rare,"Gets +{rate} for each Dread on the opponent, currently +{amount}.",Pressure payoff,beforeCompare,,thisCard,modifyValue,"2 * (counter(opponent, Dread))",thisComparison,stack,,"amount=2 * (counter(opponent, Dread)); rate=constant(2)",,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_graveburn,9 Fiends' Graveburn,9 fiends ignite cemetery rows.,9,"Demon, Undead","Fire, Dungeon",epic,"If the opponent has at least {threshold} Dread, their card gets -{amount}.",Pressure conversion,beforeCompare,"counterCompare(opponent, Dread, gte, 1)",opponentCard,modifyValue,constant(-6),thisComparison,stack,,amount=constant(6); threshold=constant(1),,,,,,,,,
cryptfire_covenant,cryptfire_covenant_fiends_endtime,10 Fiends' Endtime,10 fiends surround a broken clock.,10,"Demon, Undead",Fire,legendary,"When revealed, give the opponent {amount} Dread.",Pressure setup,onReveal,,player(opponent),addCounter,Dread: constant(16),instant,stack,,amount=constant(16),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_deal,1 Gambler's Deal,1 gambler deals one card.,1,Human,CardMaster,common,"Gets +{rate} for each Human card you have played this match, currently +{amount}. Lower value wins this comparison.",Tribal history scaling,beforeCompare,,thisCard,modifyValue,"5 * (historyCount(self, tribe=Human))",thisComparison,stack,,"amount=5 * (historyCount(self, tribe=Human)); rate=constant(5)",beforeCompare,,thisCard,reverseComparison,,thisComparison,replace,,
tableborn_circle,tableborn_circle_gamblers_small_bet,2 Gamblers' Small Bet,2 gamblers lean over a small wager.,2,Human,CardMaster,common,Gets +{amount} if you have played at least {threshold} different tribes.,Diversity payoff,beforeCompare,"uniqueTribesCompare(self, gte, 3)",thisCard,modifyValue,constant(21),thisComparison,stack,,amount=constant(21); threshold=constant(3),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_card_trick,3 Gamblers' Card Trick,3 gamblers reveal matching cards.,3,Human,CardMaster,common,Gets +{amount} if your previous card lost.,Loss sequencing,beforeCompare,"previousResult(self, lose)",thisCard,modifyValue,constant(10),thisComparison,stack,,amount=constant(10),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_poker_night,4 Gamblers' Poker Night,4 gamblers crowd a poker table.,4,Human,CardMaster,uncommon,Gets +{amount} during round {round} or later.,Late-match payoff,beforeCompare,"roundCompare(gte, 5)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6); round=constant(5),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_bad_hand,5 Gamblers' Bad Hand,5 gamblers stare at a losing hand.,5,Human,CardMaster,uncommon,Gets +{amount} after you lose {threshold} rounds in a row.,Streak breaker,beforeCompare,"consecutive(self, lose, gte, 2)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(2),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_bluff,6 Gamblers' Bluff,6 gamblers hide cards behind backs.,6,Human,CardMaster,uncommon,"Gets +{rate} for each Human card you have played this match, currently +{amount}.",Tribal history scaling,beforeCompare,,thisCard,modifyValue,"historyCount(self, tribe=Human)",thisComparison,stack,,"amount=historyCount(self, tribe=Human); rate=constant(1)",,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_lucky_draw,7 Gamblers' Lucky Draw,7 gamblers grab cards from the air.,7,Human,CardMaster,rare,Gets +{amount} if you have played at least {threshold} different tribes.,Diversity payoff,beforeCompare,"uniqueTribesCompare(self, gte, 3)",thisCard,modifyValue,constant(3),thisComparison,stack,,amount=constant(3); threshold=constant(3),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_table_flip,8 Gamblers' Table Flip,8 gamblers overturn a gaming table.,8,Human,CardMaster,rare,Gets +{amount} if your previous card lost.,Loss sequencing,beforeCompare,"previousResult(self, lose)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_final_bet,9 Gamblers' Final Bet,9 gamblers push coins to the center.,9,Human,CardMaster,rare,Gets +{amount} during round {round} or later.,Late-match payoff,beforeCompare,"roundCompare(gte, 5)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6); round=constant(5),,,,,,,,,
tableborn_circle,tableborn_circle_gamblers_grand_game,10 Gamblers' Grand Game,10 gamblers fill a tournament hall.,10,Human,CardMaster,epic,Gets +{amount} after you lose {threshold} rounds in a row.,Streak breaker,beforeCompare,"consecutive(self, lose, gte, 2)",thisCard,modifyValue,constant(8),thisComparison,stack,,amount=constant(8); threshold=constant(2),,,,,,,,,
greenwake_circle,greenwake_circle_treants_sprout,1 Treant's Sprout,1 treant sprouts from a stump.,1,"Elemental, Beast",Nature,common,"Gets +{rate} for each Elemental card you have played this match, currently +{amount}. It also counts as a Spirit this round.",Tribal history scaling,beforeCompare,,thisCard,modifyValue,"5 * (historyCount(self, tribe=Elemental))",thisComparison,stack,,"amount=5 * (historyCount(self, tribe=Elemental)); rate=constant(5)",onReveal,,thisCard,addTribe,Spirit,thisRound,unique,,
greenwake_circle,greenwake_circle_treants_rain_song,2 Treants' Rain Song,2 treants sway beneath falling rain.,2,"Elemental, Beast",Nature,common,Gets +{amount} if you have played at least {threshold} different tribes.,Diversity payoff,beforeCompare,"uniqueTribesCompare(self, gte, 3)",thisCard,modifyValue,constant(21),thisComparison,stack,,amount=constant(21); threshold=constant(3),,,,,,,,,
greenwake_circle,greenwake_circle_treants_root_race,3 Treants' Root Race,3 treants race roots through soil.,3,"Elemental, Beast",Nature,common,Gets +{amount} if your previous card lost.,Loss sequencing,beforeCompare,"previousResult(self, lose)",thisCard,modifyValue,constant(10),thisComparison,stack,,amount=constant(10),,,,,,,,,
greenwake_circle,greenwake_circle_treants_orchard_walk,4 Treants' Orchard Walk,4 treants walk between orchard rows.,4,"Elemental, Beast",Nature,uncommon,Gets +{amount} during round {round} or later.,Late-match payoff,beforeCompare,"roundCompare(gte, 5)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6); round=constant(5),,,,,,,,,
greenwake_circle,greenwake_circle_treants_stag_hunt,5 Treants' Stag Hunt,5 treants surround a white stag.,5,"Elemental, Beast",Nature,uncommon,Gets +{amount} after you lose {threshold} rounds in a row.,Streak breaker,beforeCompare,"consecutive(self, lose, gte, 2)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(2),,,,,,,,,
greenwake_circle,greenwake_circle_treants_bloom,6 Treants' Bloom,6 treants open flowers from branches.,6,"Elemental, Beast",Nature,uncommon,"Gets +{rate} for each Elemental card you have played this match, currently +{amount}.",Tribal history scaling,beforeCompare,,thisCard,modifyValue,"historyCount(self, tribe=Elemental)",thisComparison,stack,,"amount=historyCount(self, tribe=Elemental); rate=constant(1)",,,,,,,,,
greenwake_circle,greenwake_circle_treants_grove_dance,7 Treants' Grove Dance,7 treants circle an ancient oak.,7,"Elemental, Beast",Nature,rare,Gets +{amount} if you have played at least {threshold} different tribes.,Diversity payoff,beforeCompare,"uniqueTribesCompare(self, gte, 3)",thisCard,modifyValue,constant(3),thisComparison,stack,,amount=constant(3); threshold=constant(3),,,,,,,,,
greenwake_circle,greenwake_circle_treants_wild_hunt,8 Treants' Wild Hunt,8 treants chase hunters from the grove.,8,"Elemental, Beast",Nature,rare,Gets +{amount} if your previous card lost.,Loss sequencing,beforeCompare,"previousResult(self, lose)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4),,,,,,,,,
greenwake_circle,greenwake_circle_treants_long_sleep,9 Treants' Long Sleep,9 treants sleep beneath autumn leaves.,9,"Elemental, Beast",Nature,rare,Gets +{amount} during round {round} or later.,Late-match payoff,beforeCompare,"roundCompare(gte, 5)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6); round=constant(5),,,,,,,,,
greenwake_circle,greenwake_circle_treants_awakening,10 Treants' Awakening,10 treants rise around a stone ring.,10,"Elemental, Beast",Nature,epic,Gets +{amount} after you lose {threshold} rounds in a row.,Streak breaker,beforeCompare,"consecutive(self, lose, gte, 2)",thisCard,modifyValue,constant(8),thisComparison,stack,,amount=constant(8); threshold=constant(2),,,,,,,,,
boneflame_host,boneflame_host_skeletons_spark,1 Skeleton's Spark,1 skeleton sparks inside a grave.,1,"Undead, Demon",Fire,common,"If this loses, return your highest Undead of value {threshold} or lower from your discard to your hand and draw {drawCount} cards.",Sacrifice and recovery,onLose,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=2)",returnToHand,,instant,unique,,drawCount=constant(5); threshold=constant(2),onLose,,player(self),draw,constant(5),instant,stack,,
boneflame_host,boneflame_host_skeletons_bone_toss,2 Skeletons' Bone Toss,2 skeletons toss bones across a fire.,2,"Undead, Demon",Fire,common,"If this loses, return your highest Undead of value {threshold} or lower from discard to hand.",Sacrifice and recovery,onLose,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=2)",returnToHand,,instant,unique,,threshold=constant(2),,,,,,,,,
boneflame_host,boneflame_host_skeletons_ash_dance,3 Skeletons' Ash Dance,3 skeletons dance through drifting ash.,3,"Undead, Demon",Fire,common,"Gets +{rate} for each Undead you have lost this match, currently +{amount}.",Loss-history payoff,beforeCompare,,thisCard,modifyValue,"5 * (historyCount(self, tribe=Undead, result=lose))",thisComparison,stack,,"amount=5 * (historyCount(self, tribe=Undead, result=lose)); rate=constant(5)",,,,,,,,,
boneflame_host,boneflame_host_skeletons_grave_run,4 Skeletons' Grave Run,4 skeletons run between open graves.,4,"Undead, Demon",Fire,uncommon,"Gets +{rate} for each Undead you have lost this match, currently +{amount}.",Loss-history payoff,beforeCompare,,thisCard,modifyValue,"3 * (historyCount(self, tribe=Undead, result=lose))",thisComparison,stack,,"amount=3 * (historyCount(self, tribe=Undead, result=lose)); rate=constant(3)",,,,,,,,,
boneflame_host,boneflame_host_skeletons_fire_walk,5 Skeletons' Fire Walk,5 skeletons cross a bed of coals.,5,"Undead, Demon",Fire,uncommon,"Gets +{rate} for each Undead you have lost this match, currently +{amount}.",Loss-history payoff,beforeCompare,,thisCard,modifyValue,"2 * (historyCount(self, tribe=Undead, result=lose))",thisComparison,stack,,"amount=2 * (historyCount(self, tribe=Undead, result=lose)); rate=constant(2)",,,,,,,,,
boneflame_host,boneflame_host_skeletons_pyre,6 Skeletons' Pyre,6 skeletons circle a funeral pyre.,6,"Undead, Demon",Fire,uncommon,"If this wins, return your highest Undead of value {threshold} or lower from discard to hand.",Recursion payoff,onWin,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=3)",returnToHand,,instant,unique,oncePerRound,threshold=constant(3),,,,,,,,,
boneflame_host,boneflame_host_skeletons_crypt_roast,7 Skeletons' Crypt Roast,7 skeletons roast meat over tombstones.,7,"Undead, Demon",Fire,epic,"If this wins, return your highest Undead of value {threshold} or lower from discard to hand.",Recursion payoff,onWin,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=3)",returnToHand,,instant,unique,oncePerRound,threshold=constant(3),,,,,,,,,
boneflame_host,boneflame_host_skeletons_last_march,8 Skeletons' Last March,8 skeletons march through cemetery gates.,8,"Undead, Demon",Fire,epic,"If this wins, return your highest Undead of value {threshold} or lower from discard to hand.",Recursion payoff,onWin,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=3)",returnToHand,,instant,unique,,threshold=constant(3),,,,,,,,,
boneflame_host,boneflame_host_skeletons_bone_feast,9 Skeletons' Bone Feast,9 skeletons crowd around a bone pile.,9,"Undead, Demon",Fire,epic,"Whenever this loses, draw {amount} card.",High-value insurance,onLose,,player(self),draw,constant(3),instant,stack,,amount=constant(3),,,,,,,,,
boneflame_host,boneflame_host_skeletons_inferno,10 Skeletons' Inferno,10 skeletons rise inside a firestorm.,10,"Undead, Demon",Fire,epic,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(16),untilTriggered,unique,,amount=constant(16),,,,,,,,,
